,NetworkRisk
2023-04-17,
2023-04-18,
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-22,
2023-04-23,
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,
2023-04-28,
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-06,
2023-05-07,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-13,
2023-05-14,
2023-05-15,
2023-05-16,-0.00017093387844240027
2023-05-17,-4.019223385919962e-05
2023-05-18,0.02221947231178335
2023-05-19,-0.012903054264994997
2023-05-20,-0.00272439927651775
2023-05-21,0.0027705921238869047
2023-05-22,-0.012481917013961301
2023-05-23,0.0038480680312691995
2023-05-24,-0.0035632901645655506
2023-05-25,-0.0171787101500923
2023-05-26,0.0018411828362866842
2023-05-27,-0.0003494723801548503
2023-05-28,0.01471569873947895
2023-05-29,0.0052692848467764015
2023-05-30,-0.0040402365413230515
2023-05-31,-0.00802945570009465
2023-06-01,-0.006327082135686101
2023-06-02,-0.00534305581732245
2023-06-03,0.003326297139312401
2023-06-04,-0.0003382364470369001
2023-06-05,0.0039418435346067
2023-06-06,-0.04838830386281
2023-06-07,0.03463121588452825
2023-06-08,-0.023837750014469354
2023-06-09,0.0036341651044021
2023-06-10,0.0124766799226979
2023-06-11,-0.021820600486903007
2023-06-12,-0.0003935068155811502
2023-06-13,0.0015776560772285501
2023-06-14,0.002707037423688094
2023-06-15,0.00016437855014844738
2023-06-16,0.013493139728385901
2023-06-17,0.004532097244957399
2023-06-18,0.0010457445383007997
2023-06-19,-7.926962871975017e-05
2023-06-20,0.0035905863091189993
2023-06-21,0.017475264590775554
2023-06-22,0.024561166614145504
2023-06-23,0.000760709553722501
2023-06-24,0.026213594734806996
2023-06-25,-0.008542571963218198
2023-06-26,-0.0076229905892364995
2023-06-27,-0.008259074749582198
2023-06-28,0.005263360260385151
2023-06-29,-0.01638162964352715
2023-06-30,0.0065901608103024496
2023-07-01,0.0016603462975323495
2023-07-02,0.01946221512426695
2023-07-03,-0.00664465086373265
2023-07-04,0.0068634496601706
2023-07-05,0.00276188145979055
2023-07-06,-0.01209374776171615
2023-07-07,-0.008001212003762099
2023-07-08,0.0043571111699719
2023-07-09,0.0030015783859219996
2023-07-10,-0.00441640532024145
2023-07-11,-0.00151520104557425
2023-07-12,0.0046278971353213
2023-07-13,-0.0041886786240228
2023-07-14,0.024711607385019048
2023-07-15,-0.0168690969556946
2023-07-16,0.026198324738976285
2023-07-17,-0.015848931428684602
2023-07-18,0.00445666927702575
2023-07-19,-0.0118237940063921
2023-07-20,0.01454387255235685
2023-07-21,0.0005169422600977498
2023-07-22,0.021508631444586798
2023-07-23,-0.01556036009872035
2023-07-24,0.00893203244154575
2023-07-25,0.012287490134077352
2023-07-26,0.0443184218783579
2023-07-27,-0.02431747744537405
2023-07-28,-0.00153927579609055
2023-07-29,-0.00382087526302817
2023-07-30,0.017850546929980997
2023-07-31,-0.01029190775567155
2023-08-01,-0.00016306544571829452
2023-08-02,-0.0004614032470551775
2023-08-03,-0.020220940100794803
2023-08-04,-0.0025930123957682
2023-08-05,-0.0013927334455202498
2023-08-06,0.01230670832363445
2023-08-07,-0.007241097551539826
2023-08-08,-0.0028153962735856
2023-08-09,0.013029013803528902
2023-08-10,-0.0007272008161887125
2023-08-11,0.0011397247751764497
2023-08-12,0.00276709719286575
2023-08-13,0.0065928856915885
2023-08-14,-0.012375787414670651
2023-08-15,0.0009472351831295
2023-08-16,-0.026295079611449695
2023-08-17,-0.027890539893648904
2023-08-18,-0.05015479085040755
2023-08-19,0.011722584921875199
2023-08-20,0.0023821678115879996
2023-08-21,-0.0026936992728311994
2023-08-22,-0.005183083736610929
2023-08-23,0.008980210812047251
2023-08-24,0.004697988115395952
2023-08-25,-0.006655496600871451
2023-08-26,-3.165886775789999e-05
2023-08-27,-0.00047036136980630004
2023-08-28,2.0538663971550117e-05
2023-08-29,0.0038634844379552002
2023-08-30,0.030443466887073396
2023-08-31,-0.00511803207834024
2023-09-01,-0.022313671897365252
2023-09-02,0.0019970518419692006
2023-09-03,-0.0044220749834568
2023-09-04,0.00036051665903469993
2023-09-05,0.00021087383703059987
2023-09-06,0.0041502637267809
2023-09-07,-0.0036597684419705607
2023-09-08,0.0040175613720592
2023-09-09,-0.0020816675931145
2023-09-10,-0.00181554499997065
2023-09-11,-0.012587356977187228
2023-09-12,-0.00012343134362004932
2023-09-13,0.005954039671400098
2023-09-14,0.005338341641374249
2023-09-15,0.00536878450039135
2023-09-16,0.0014423452499359507
2023-09-17,-0.0028375240291865
2023-09-18,-0.001767064646242599
2023-09-19,0.0037745975984261994
2023-09-20,0.012684209663759752
2023-09-21,0.0037476902497434496
2023-09-22,-0.00908651214681075
2023-09-23,-0.0011575995309474002
2023-09-24,-8.133179092957417e-05
2023-09-25,-0.008488000323879984
2023-09-26,0.0005104537948845498
2023-09-27,-0.0059090643024733
2023-09-28,7.312309228875002e-05
2023-09-29,0.004018143020065149
2023-09-30,-0.0008110050024686
2023-10-01,-0.00094213703693936
2023-10-02,0.008296618425302448
2023-10-03,0.005611222692235303
2023-10-04,-0.004700663239191899
2023-10-05,0.0079849542625164
2023-10-06,-0.0008171244117547508
2023-10-07,0.00408637942580185
2023-10-08,0.004021216739340728
2023-10-09,-0.004120336493327579
2023-10-10,-0.009062261756462096
2023-10-11,0.0034040386335495994
2023-10-12,-0.014490791574427501
2023-10-13,0.0023929667272887993
2023-10-14,0.0013448731684104999
2023-10-15,0.011349141745120977
2023-10-16,0.0006468783733790899
2023-10-17,0.019730695712827546
2023-10-18,-0.0006546466230325787
2023-10-19,-0.0048572663198650995
2023-10-20,0.0063946345463627
2023-10-21,0.014689369540918302
2023-10-22,0.00551167039694235
2023-10-23,-0.00431080824601115
2023-10-24,0.058603120892868996
2023-10-25,0.0040604246338536
2023-10-26,0.0218650193868011
2023-10-27,0.015778895862587697
2023-10-28,-0.026018209179396144
2023-10-29,0.012803493221742701
2023-10-30,0.002258849806579
2023-10-31,-0.0009675086032986
2023-11-01,-0.00887380122774175
2023-11-02,-0.008522360984886998
2023-11-03,-0.03913639805356915
2023-11-04,-0.009180530499446001
2023-11-05,0.004421233687788351
2023-11-06,0.006338040097966499
2023-11-07,0.0333349548334509
2023-11-08,-0.0108467439922583
2023-11-09,0.0174867750847698
2023-11-10,-0.0588615480877632
2023-11-11,0.03157305782299255
2023-11-12,0.0237184656294874
2023-11-13,-0.0017929298178911502
2023-11-14,-0.032049872804456446
2023-11-15,-0.009290533180924297
2023-11-16,0.037865155117260706
2023-11-17,0.016812891355592552
2023-11-18,0.05164744597529805
2023-11-19,-0.037421345512492495
2023-11-20,0.0016918798267145981
2023-11-21,-0.020223733878755697
2023-11-22,-0.03712139874716855
2023-11-23,0.013966833837520797
2023-11-24,0.0009374855822527385
2023-11-25,0.014677973440790651
2023-11-26,0.004477756849323549
2023-11-27,-0.0016205094703404992
2023-11-28,0.00745073297221535
2023-11-29,0.0139564100554009
